id_str,from_user,text,created_at,time,geo_coordinates,iso_language_code,to_user,to_user_id_str,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,status_url,entities_str
277201182412398592 ,GhostProf,RT @mvp1922: Awesome #yearofulysses chat today -- a huge thanks to @jmclawson and all participants!,"Sat, 08 Dec 2012 00:01:26 +0000",08/12/2012 00:01:26,,en,,0,213863609,,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2845437299/d2a13822dcde170b9d442c5219244c88_normal.png,http://twitter.com/GhostProf/statuses/277201182412398592,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[21,35]}],""user_mentions"":[{""id"":591539889,""name"":""Modernist Versions"",""indices"":[3,11],""screen_name"":""mvp1922"",""id_str"":""591539889""},{""id"":329782863,""name"":""James Clawson"",""indices"":[67,77],""screen_name"":""jmclawson"",""id_str"":""329782863""}]}"
277199344325783553 ,jmclawson,#yearofulysses @AllStevie @BobRBogle @eireprof @GhostProf no reason we need to stop talking about it!,"Fri, 07 Dec 2012 23:54:08 +0000",07/12/2012 23:54:08,,en,AllStevie,19381875,329782863,277197742432997376,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/1427709406/8924_1243220400993_1243846492_30731164_2843548_n_normal.jpg,http://twitter.com/jmclawson/statuses/277199344325783553,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[0,14]}],""user_mentions"":[{""id"":19381875,""name"":""Stevie"",""indices"":[15,25],""screen_name"":""AllStevie"",""id_str"":""19381875""},{""id"":606345587,""name"":""Bob R Bogle"",""indices"":[26,36],""screen_name"":""BobRBogle"",""id_str"":""606345587""},{""id"":219068817,""name"":""Matt Schultz"",""indices"":[37,46],""screen_name"":""eireprof"",""id_str"":""219068817""},{""id"":213863609,""name"":""Stephen Ross"",""indices"":[47,57],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277197742432997376 ,AllStevie,"@BobRBogle @eireprof @ghostprof Me too! In some ways, it's the toughest one for me. #yearofulysses","Fri, 07 Dec 2012 23:47:46 +0000",07/12/2012 23:47:46,,en,BobRBogle,606345587,19381875,277197282535940096,&lt;a href=&quot;http://twitter.com/#!/download/ipad&quot;&gt;Twitter for iPad&lt;/a&gt;,http://a0.twimg.com/profile_images/2695334261/14ed23d745e15c80d07622c3c7e9d61c_normal.jpeg,http://twitter.com/AllStevie/statuses/277197742432997376,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[84,98]}],""user_mentions"":[{""id"":606345587,""name"":""Bob R Bogle"",""indices"":[0,10],""screen_name"":""BobRBogle"",""id_str"":""606345587""},{""id"":219068817,""name"":""Matt Schultz"",""indices"":[11,20],""screen_name"":""eireprof"",""id_str"":""219068817""},{""id"":213863609,""name"":""Stephen Ross"",""indices"":[21,31],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277197282535940096 ,BobRBogle,Darn!  Missed #Sirens!  @AllStevie @eireprof @ghostprof #yearofulysses,"Fri, 07 Dec 2012 23:45:56 +0000",07/12/2012 23:45:56,,da,,0,606345587,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/2301840163/Twittericon_normal.jpg,http://twitter.com/BobRBogle/statuses/277197282535940096,"{""urls"":[],""hashtags"":[{""text"":""Sirens"",""indices"":[14,21]},{""text"":""yearofulysses"",""indices"":[56,70]}],""user_mentions"":[{""id"":19381875,""name"":""Stevie"",""indices"":[24,34],""screen_name"":""AllStevie"",""id_str"":""19381875""},{""id"":219068817,""name"":""Matt Schultz"",""indices"":[35,44],""screen_name"":""eireprof"",""id_str"":""219068817""},{""id"":213863609,""name"":""Stephen Ross"",""indices"":[45,55],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277195554981818368 ,AllStevie,"@eireprof @ghostprof barmaids=sirens/danger=Irish pub culture: seductive, addicting, ambition-killing? Soz I missd the chat! #yearofulysses","Fri, 07 Dec 2012 23:39:05 +0000",07/12/2012 23:39:05,,en,eireprof,219068817,19381875,277132568225267712,&lt;a href=&quot;http://twitter.com/#!/download/ipad&quot;&gt;Twitter for iPad&lt;/a&gt;,http://a0.twimg.com/profile_images/2695334261/14ed23d745e15c80d07622c3c7e9d61c_normal.jpeg,http://twitter.com/AllStevie/statuses/277195554981818368,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[125,139]}],""user_mentions"":[{""id"":219068817,""name"":""Matt Schultz"",""indices"":[0,9],""screen_name"":""eireprof"",""id_str"":""219068817""},{""id"":213863609,""name"":""Stephen Ross"",""indices"":[10,20],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277193368625364993 ,jmclawson,#yearofulysses Randall Stevenson recites whole pages of Penelope as part of his U lecture. Keeps undergrads riveted! @mollyhardy @GhostProf,"Fri, 07 Dec 2012 23:30:23 +0000",07/12/2012 23:30:23,,en,mollyhardy,283753165,329782863,277190987334447104,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/1427709406/8924_1243220400993_1243846492_30731164_2843548_n_normal.jpg,http://twitter.com/jmclawson/statuses/277193368625364993,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[0,14]}],""user_mentions"":[{""id"":283753165,""name"":""Molly Hardy"",""indices"":[117,128],""screen_name"":""mollyhardy"",""id_str"":""283753165""},{""id"":213863609,""name"":""Stephen Ross"",""indices"":[129,139],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277191850719334400 ,2lysses,RT @mvp1922: Awesome #yearofulysses chat today -- a huge thanks to @jmclawson and all participants!,"Fri, 07 Dec 2012 23:24:21 +0000",07/12/2012 23:24:21,,en,,0,234198763,,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2336505201/vdr941m71k01i4eg78v0_normal.jpeg,http://twitter.com/2lysses/statuses/277191850719334400,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[21,35]}],""user_mentions"":[{""id"":591539889,""name"":""Modernist Versions"",""indices"":[3,11],""screen_name"":""mvp1922"",""id_str"":""591539889""},{""id"":329782863,""name"":""James Clawson"",""indices"":[67,77],""screen_name"":""jmclawson"",""id_str"":""329782863""}]}"
277191510489976832 ,mvp1922,Awesome #yearofulysses chat today -- a huge thanks to @jmclawson and all participants!,"Fri, 07 Dec 2012 23:23:00 +0000",07/12/2012 23:23:00,,en,,0,591539889,,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2265431279/ggesnelz60mvj75s28c6_normal.png,http://twitter.com/mvp1922/statuses/277191510489976832,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[8,22]}],""user_mentions"":[{""id"":329782863,""name"":""James Clawson"",""indices"":[54,64],""screen_name"":""jmclawson"",""id_str"":""329782863""}]}"
277190987334447104 ,mollyhardy,@GhostProf Much safer than having a student memorize and perform 20 lines from the last 2 pages #yearofulysses,"Fri, 07 Dec 2012 23:20:55 +0000",07/12/2012 23:20:55,,en,GhostProf,213863609,283753165,277123250264354816,&lt;a href=&quot;http://sites.google.com/site/yorufukurou/&quot;&gt;YoruFukurou&lt;/a&gt;,http://a0.twimg.com/profile_images/1315284528/dscn2890_normal.jpg,http://twitter.com/mollyhardy/statuses/277190987334447104,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[96,110]}],""user_mentions"":[{""id"":213863609,""name"":""Stephen Ross"",""indices"":[0,10],""screen_name"":""GhostProf"",""id_str"":""213863609""}]}"
277167472698855426 ,jmclawson,"#yearofulysses @SNOboston Yes, but also in Sirens. The beginning of a chapter on sound begins with a hodgepodge of images.","Fri, 07 Dec 2012 21:47:29 +0000",07/12/2012 21:47:29,,en,SNOboston,65060517,329782863,277167245032046595,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/1427709406/8924_1243220400993_1243846492_30731164_2843548_n_normal.jpg,http://twitter.com/jmclawson/statuses/277167472698855426,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[0,14]}],""user_mentions"":[{""id"":65060517,""name"":""Ryan Cole"",""indices"":[15,25],""screen_name"":""SNOboston"",""id_str"":""65060517""}]}"
277166416296284161 ,jmclawson,"#yearofulysses That was obscure. I meant in the beginning of the chapter, where visible gives way to audible. @jmclawson @SNOboston","Fri, 07 Dec 2012 21:43:17 +0000",07/12/2012 21:43:17,,en,jmclawson,329782863,329782863,277165087465287680,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/1427709406/8924_1243220400993_1243846492_30731164_2843548_n_normal.jpg,http://twitter.com/jmclawson/statuses/277166416296284161,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[0,14]}],""user_mentions"":[{""id"":329782863,""name"":""James Clawson"",""indices"":[110,120],""screen_name"":""jmclawson"",""id_str"":""329782863""},{""id"":65060517,""name"":""Ryan Cole"",""indices"":[121,131],""screen_name"":""SNOboston"",""id_str"":""65060517""}]}"
277165087465287680 ,jmclawson,"#yearofulysses @SNOboston interesting! And that goes back, also, to the differences in “ineluctable modality” of *visible* versus *audible*.","Fri, 07 Dec 2012 21:38:00 +0000",07/12/2012 21:38:00,,en,SNOboston,65060517,329782863,277164232099905537,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/1427709406/8924_1243220400993_1243846492_30731164_2843548_n_normal.jpg,http://twitter.com/jmclawson/statuses/277165087465287680,"{""urls"":[],""hashtags"":[{""text"":""yearofulysses"",""indices"":[0,14]}],""user_mentions"":[{""id"":65060517,""name"":""Ryan Cole"",""indices"":[15,25],""screen_name"":""SNOboston"",""id_str"":""65060517""}]}"
